Sample Age,Mean Resolution,5th Percentile Resolution,95th Percentile Resolution, Uncertainty Used
-1165,173.541419,136.624068,243.498893,18.033512
-1164.5,173.319805,136.624068,243.498893,18.033512
-1164,173.098191,136.624068,243.498893,18.033511
-1163.5,173.015136,136.624068,243.248341,18.032950
-1163,172.932081,136.624068,243.248341,18.032388
-1162.5,172.650604,136.624068,242.623070,18.031827
-1162,172.369126,136.624068,241.748901,18.031265
-1161.5,172.276993,136.624068,241.748901,18.030143
-1161,172.184860,136.624068,240.935583,18.029020
-1160.5,171.966162,136.999377,240.498087,18.027898
-1160,171.747464,136.999377,238.998914,18.026775
-1159.5,171.761158,136.999377,238.873100,18.025653
-1159,171.774853,136.999377,201.999082,18.024531
-1158.5,171.825626,137.249376,201.998623,18.023409
-1158,171.876398,137.249376,201.998623,18.022287
-1157.5,171.959396,137.249376,201.904529,18.021166
-1157,172.042393,137.249376,201.904529,18.020044
-1156.5,172.152921,137.249376,201.873624,18.018922
-1156,172.263449,137.280080,201.873624,18.017801
-1155.5,172.397057,137.499375,201.873624,18.016679
-1155,172.530665,137.499375,201.749083,18.015558
-1154.5,172.716482,137.749374,201.749083,18.013876
-1154,172.902299,137.811404,201.749083,18.012193
-1153.5,173.088827,137.811404,201.499084,18.011072
-1153,173.275355,138.061402,201.499084,18.009951
-1152.5,173.372079,138.061402,201.499084,18.009390
-1152,173.468803,138.249372,201.499084,18.008830
-1151.5,173.652535,138.280071,201.499084,18.007709
-1151,173.836267,138.655068,201.499084,18.006587
-1150.5,173.941697,138.655068,201.499084,18.006027
-1150,174.047128,138.749369,201.499084,18.005467
-1149.5,174.057643,138.655068,201.499084,18.005467
-1149,174.068157,138.655068,201.499084,18.005468
-1148.5,174.068157,138.655068,201.499084,18.005468
-1148,174.068157,138.655068,201.499084,18.005468
-1147.5,173.967018,138.655068,201.499084,18.006028
-1147,173.865878,138.436399,201.499084,18.006588
-1146.5,173.667341,138.249372,201.499084,18.007709
-1146,173.468803,138.249372,201.499084,18.008830
-1145.5,173.277533,138.061402,201.499084,18.009951
-1145,173.086262,137.811404,201.499084,18.011072
-1144.5,172.677858,137.811404,201.749083,18.013314
-1144,172.269454,137.499375,201.749083,18.015556
-1143.5,172.028878,137.499375,201.749083,18.017238
-1143,171.788302,137.280080,201.873624,18.018920
-1142.5,171.548488,137.249376,201.904529,18.021164
-1142,171.308673,137.249376,201.904529,18.023407
-1141.5,171.364920,136.999377,201.998623,18.025090
-1141,171.421166,136.999377,238.873100,18.026774
-1140.5,171.451145,136.624068,239.873092,18.028457
-1140,171.481124,136.624068,240.498087,18.030140
-1139.5,171.624326,136.624068,240.935583,18.031824
-1139,171.767528,136.530086,242.623070,18.033507
-1138.5,171.934359,136.530086,242.623070,18.034630
-1138,172.101190,136.530086,243.248341,18.035753
-1137.5,172.330192,136.530086,243.498893,18.036875
-1137,172.559194,136.530086,243.748892,18.037998
-1136.5,172.698102,136.530086,243.748892,18.038559
-1136,172.837010,136.530086,243.748892,18.039121
-1135.5,172.585831,136.530086,243.748892,18.039120
-1135,172.334652,136.530086,243.748892,18.039120
-1134.5,172.334652,136.530086,243.748892,18.039120
-1134,172.334652,136.530086,243.748892,18.039120
-1133.5,172.446923,136.530086,243.748892,18.038559
-1133,172.559194,136.530086,243.748892,18.037998
-1132.5,172.436687,136.530086,243.748892,18.037437
-1132,172.314180,136.530086,243.498893,18.036875
-1131.5,172.116747,136.530086,243.248341,18.035753
-1131,171.919313,136.530086,242.623070,18.034630
-1130.5,171.782013,136.530086,242.623070,18.033508
-1130,171.644713,136.624068,241.748901,18.032385
-1129.5,171.541239,136.624068,240.935583,18.030702
-1129,171.437764,136.624068,239.873092,18.029018
-1128.5,171.441466,136.999377,238.998914,18.027335
-1128,171.445168,136.999377,201.999082,18.025652
-1127.5,171.537520,137.249376,201.998623,18.023969
-1127,171.629872,137.249376,201.904529,18.022286
-1126.5,171.792818,137.249376,201.904529,18.020604
-1126,171.955764,137.280080,201.873624,18.018921
-1125.5,172.254428,137.499375,201.749083,18.016678
-1125,172.553092,137.749374,201.749083,18.014436
-1124.5,172.819677,137.811404,201.749083,18.012754
-1124,173.086262,137.811404,201.499084,18.011072
-1123.5,173.476070,138.249372,201.499084,18.008830
-1123,173.865878,138.436399,201.499084,18.006588
-1122.5,174.171479,138.655068,201.499084,18.004907
-1122,174.477080,139.249367,201.499084,18.003226
-1121.5,174.777139,139.373891,201.499084,18.001546
-1121,175.077198,139.749365,201.499084,17.999866
-1120.5,175.368242,139.749365,201.499084,17.998185
-1120,175.659287,140.749360,201.499084,17.996505
-1119.5,175.970132,141.749356,201.498626,17.994824
-1119,176.280977,142.749351,200.999086,17.993144
-1118.5,176.465444,143.249349,200.999086,17.992024
-1118,176.649912,143.749347,200.999086,17.990904
-1117.5,176.824481,145.499008,200.999086,17.989784
-1117,176.999050,145.499339,200.623632,17.988664
-1116.5,177.161921,149.873978,200.373634,17.987545
-1116,177.324792,158.248741,200.373634,17.986425
-1115.5,177.474231,158.248741,199.560913,17.985306
-1115,177.623670,158.248741,198.248648,17.984186
-1114.5,177.758030,158.248741,198.248423,17.983067
-1114,177.892390,158.248741,197.873651,17.981948
-1113.5,177.953430,158.248741,197.873651,17.981388
-1113,178.014471,158.248741,197.248655,17.980828
-1112.5,178.123374,158.654898,197.248655,17.979709
-1112,178.232278,158.654898,197.248655,17.978590
-1111.5,178.279809,158.654898,197.248655,17.978031
-1111,178.327340,158.654898,190.123704,17.977471
-1110.5,178.407805,158.248741,190.123704,17.976352
-1110,178.488270,158.248741,190.060988,17.975233
-1109.5,178.520933,158.248741,190.060988,17.974674
-1109,178.553596,158.248741,190.060988,17.974115
-1108.5,178.603178,158.248741,190.060988,17.972996
-1108,178.652761,158.248741,190.060988,17.971877
-1107.5,178.669469,158.248741,190.060988,17.971318
-1107,178.686178,145.499008,190.060988,17.970759
-1106.5,178.615622,140.249362,190.060988,17.969641
-1106,178.545067,138.655068,189.904631,17.968523
-1105.5,178.543742,138.655068,189.904631,17.967963
-1105,178.542417,138.655068,189.904631,17.967404
-1104.5,178.535404,138.655068,189.904631,17.966845
-1104,178.528391,138.436399,189.904631,17.966286
-1103.5,178.418986,138.436399,189.904631,17.965727
-1103,178.309582,138.436399,189.904631,17.965169
-1102.5,178.309582,138.436399,189.904631,17.965169
-1102,178.309582,138.436399,189.904631,17.965169
-1101.5,178.185033,138.061402,189.904631,17.964610
-1101,178.060484,138.061402,189.904631,17.964052
-1100.5,178.060484,138.061402,189.904631,17.964052
-1100,178.060484,138.061402,189.904631,17.964052
-1099.5,178.060484,138.061402,189.904631,17.964052
-1099,178.060484,138.061402,189.904631,17.964052
-1098.5,178.082578,138.061402,189.904631,17.964611
-1098,178.104673,138.061402,189.904631,17.965170
-1097.5,178.207128,138.436399,189.904631,17.965169
-1097,178.309582,138.436399,189.904631,17.965169
-1096.5,178.323910,138.436399,189.904631,17.965728
-1096,178.338238,138.436399,189.904631,17.966287
-1095.5,178.346815,138.436399,189.904631,17.966846
-1095,178.355391,138.436399,190.060988,17.967405
-1094.5,178.448904,138.655068,189.904631,17.967405
-1094,178.542417,138.655068,189.904631,17.967404
-1093.5,178.543742,138.655068,189.904631,17.967963
-1093,178.545067,138.655068,189.904631,17.968523
-1092.5,178.540792,138.655068,190.060988,17.969082
